cpu,memory,capacity,number_of_machines,machine_percentage
1.0,1.0,1.0,795,6.32
1.0,0.5,0.75,3,0.02
0.5,0.9678,0.7339,5,0.04
0.5,0.749,0.6245,1001,7.96
0.5,0.4995,0.49975,6732,53.5
0.5,0.2493,0.37465,3863,30.7
0.5,0.1241,0.31205,52,0.41
0.5,0.06158,0.28079,1,0.01
0.5,0.03085,0.265425,5,0.04
0.25,0.2498,0.2499,126,1.0
