machine_id,cpu,memory,utilization,available_capacity_for_29_days
660411,0.5,0.4995,0.0,26073.9
257407513,0.5,0.749,0.0,39097.8
1324363,0.5,0.4995,0.0,26073.9
4302130819,0.5,0.4995,0.0,26073.9
4469203463,0.5,0.4995,0.0,26073.9
4267325517,0.5,0.4995,0.0,26073.9
351640536,0.5,0.4995,0.0,26073.9
317471765,0.5,0.749,0.0,39097.8
1234158776,0.5,0.4995,0.0,26073.9
1272678,0.5,0.4995,0.0,26073.9
854750805,0.5,0.4995,0.0,26073.9
257336958,0.5,0.749,0.0,39097.8
765846,0.5,0.4995,0.0,26073.9
3938704101,0.5,0.4995,0.0,26073.9
1436386094,0.5,0.4995,0.0,26073.9
3814094962,0.5,0.4995,0.0,26073.9
4304825559,0.5,0.4995,0.0,26073.9
487411,0.5,0.4995,0.0,26073.9
317472670,0.5,0.749,0.0,39097.8
257338304,0.5,0.749,0.0,39097.8
4302191242,0.5,0.4995,0.0,26073.9
6567651,0.5,0.4995,0.0,26073.9
351648058,0.5,0.4995,0.0,26073.9
376241288,0.5,0.4995,0.0,26073.9
3013159248,0.5,0.749,0.0,39097.8
6280638724,0.5,0.4995,0.0,26073.9
4304800783,0.5,0.4995,0.0,26073.9
6640628,0.5,0.4995,0.0,26073.9
1269457,0.5,0.4995,0.0,26073.9
376328658,0.5,0.4995,0.0,26073.9
4304153749,0.5,0.4995,0.0,26073.9
3938749757,0.5,0.4995,0.0,26073.9
3873012213,0.5,0.4995,0.0,26073.9
257335454,0.5,0.749,0.0,39097.8
4469353683,0.5,0.4995,0.0,26073.9
5068065359,0.5,0.2493,0.048899325775999994,13013.46
5782721,0.5,0.2493,0.05917208961920001,13013.46
305376413,0.5,0.2493,0.197768374328,13013.46
288814348,0.5,0.2493,0.251817543517,13013.46
277453811,0.5,0.2493,0.7956507580581519,13013.46
227390250,0.5,0.03085,1.3211435658974018,1610.37
484315627,0.5,0.749,2.6136776248899998,39097.8
368736489,0.5,0.2493,3.120214706739243,13013.46
318388076,0.5,0.2493,5.22212306312748,13013.46
257499480,0.5,0.2493,5.74672827692762,13013.46
